CustomerID,Age,Gender,ItemPurchased,Category,PurchaseAmountUSD,Location,Size,Color,Season,ReviewRating,SubscriptionStatus,ShippingType,DiscountApplied,PromoCodeUsed,PreviousPurchases,PaymentMethod,FrequencyOfPurchases,Age_Group
1,56,Male,Bag,Accessories,374.86,New York,L,Red,Fall,3,No,Standard,Yes,No,7,PayPal,Fortnightly,50s
2,46,Male,Shoes,Home Decor,33.28,Los Angeles,S,Black,Spring,2,No,Express,Yes,No,3,UPI,Weekly,40s
3,32,Female,Laptop,Home Decor,117.45,Houston,S,Black,Fall,4,No,Standard,Yes,Yes,13,UPI,Monthly,30s
4,60,Male,Bag,Home Decor,356.05,Chicago,M,Green,Summer,2,Yes,Express,No,No,14,PayPal,Weekly,60+
5,25,Female,Laptop,Accessories,393.5,Houston,M,Black,Winter,2,Yes,Express,No,No,5,Cash,Fortnightly,20s
6,38,Female,Phone,Accessories,233.11,Los Angeles,M,Green,Winter,5,No,Standard,No,Yes,4,UPI,Fortnightly,30s
7,56,Male,Shoes,Accessories,352.06,Chicago,S,Green,Winter,2,Yes,Standard,Yes,No,12,UPI,Weekly,50s
8,36,Female,T-Shirt,Clothing,200.1,Chicago,XL,Green,Fall,2,Yes,Express,Yes,No,9,UPI,Fortnightly,30s
9,40,Female,Watch,Electronics,88.36,Chicago,M,Red,Fall,2,Yes,Standard,Yes,Yes,5,UPI,Monthly,40s
10,28,Male,Football,Home Decor,205.09,Chicago,XL,Black,Summer,1,No,Standard,Yes,No,3,Credit Card,Fortnightly,20s
11,28,Female,Football,Clothing,294.18,Houston,M,Black,Spring,3,Yes,Express,Yes,Yes,3,UPI,Fortnightly,20s
12,41,Female,Watch,Home Decor,474.55,Chicago,S,Green,Spring,3,Yes,Express,No,Yes,6,Cash,Weekly,40s
13,53,Female,Phone,Clothing,43.69,Houston,XL,Black,Winter,2,Yes,Express,Yes,Yes,0,Credit Card,Monthly,50s
14,57,Female,Shoes,Accessories,258.62,Chicago,XL,Black,Winter,5,Yes,Standard,No,Yes,8,UPI,Weekly,50s
15,41,Male,Shoes,Home Decor,171.17,Chicago,S,Green,Fall,5,Yes,Express,Yes,Yes,9,Debit Card,Weekly,40s
16,20,Female,Laptop,Accessories,259.07,Los Angeles,XL,White,Winter,5,Yes,Express,No,Yes,2,Credit Card,Weekly,20s
17,39,Female,T-Shirt,Home Decor,21.75,Houston,S,White,Summer,3,Yes,Standard,Yes,Yes,3,UPI,Fortnightly,30s
